Movie_Name,genres,actor_1_name,Polarity,Subjectivity,actor_2_name,Imdb Score
Avatar,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,0.042204505,0.133943589,Joel David Moore,7.9
Pirates of the Caribbean: At World's End,Action|Adventure|Fantasy,Johnny Depp,0.048373799,0.401739183,Orlando Bloom,7.1
Spectre,Action|Adventure|Thriller,Christoph Waltz,0.058316864,0.222754395,Rory Kinnear,6.8
The Dark Knight Rises,Action|Thriller,Tom Hardy,-0.113377463,0.455952381,Christian Bale,8.5
Star Wars: Episode VII - The Force Awakens            ,Documentary,Doug Walker,0.020534587,0.111038961,Rob Walker,7.1
John Carter,Action|Adventure|Sci-Fi,Daryl Sabara,-0.072916667,0.135416667,Samantha Morton,6.6
Spider-Man 3,Action|Adventure|Romance,J.K. Simmons,0.022531334,0.285096424,James Franco,6.2
Tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,0.100950125,0.262749577,Donna Murphy,7.8
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,Chris Hemsworth,0.046405965,0.208359012,Robert Downey Jr.,7.5
Harry Potter and the Half-Blood Prince,Adventure|Family|Fantasy|Mystery,Alan Rickman,-0.104741616,0.222904556,Daniel Radcliffe,7.5
Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,Henry Cavill,0.072590909,0.185909859,Lauren Cohan,6.9
Superman Returns,Action|Adventure|Sci-Fi,Kevin Spacey,0.063738084,0.241400688,Marlon Brando,6.1
Quantum of Solace,Action|Adventure,Giancarlo Giannini,0.027805289,0.285739845,Mathieu Amalric,6.7
Total Dhamaal,Comedy | U,Ajay Devgn,0.035010633,0.550308347,Anil Kapoor,4.3
Dabangg 3,Action| Romance| Thriller | UA,Salman Khan,0.083868822,0.250503923,Sonakshi Sinha,7.7
The Body,Drama | UA,Emraan Hashmi| r| Vedhika| Sobhita Dhulipala,0.076334174,0.313308686,Rishi Kapoor,5.6
Veerappan,Action|Biography|Crime,Sachiin Joshi||Usha Jadhav|Nissar Khan|,0.026834305,0.186188047,Sandeep Bharadwaj,5.3
Do Lafzon Ki Kahani,Action|Drama|Romance,Kajal Aggarwal||Randeep Hooda|Snehal Kulshreshtha|Mamik Singh|,0.029166667,0.0875,Anil George,6.4
Mardaani 2,Action| Crime| Thriller | UA,Rani Mukerji| | Rajesh Sharma| Jisshu Sengupta| Deepika Amin| Vikram Singh Chauhan| Vishal Jethwa,0.12790708,0.243471553,Shruti Bapna,6.8
Pati Patni Aur Woh,Comedy| Romance | UA,Kartik Aaryan| r| Ananya Panday| Aparshakti Khurana| Rajesh Sharma| K.K. Raina| Navni Parihar| Ankita Goraya,0.069213411,0.199801204,Bhumi Pedneka,6.8
X Ray: The Inner Image,Drama| Thriller | A,Rahul Sharma| ,0.183333333,0.401851852,Yashika Kapoor,5.2
Yeh Saali Aashiqui,Romance| Thriller | A,Vardhan Puri| | Jessey Lever,0.19279591,0.355116484,Shivaleeka Oberoi,6.4
Dosti Zindabad,Drama | UA,Dev Sharma| | Shakti Kapoor| Mohan Joshi| Ayub Khan| Kiran Kumar| Ehsaan Khan| Abbas Khan| Sabiha Attarwala| Rahul Choudhari| Rajiv Nigam,0.5,0.6,Sakshi Maggo,3.6
Pagalpanti,Comedy| Action | UA,John Abraham| z| Urvashi Rautela| Anil Kapoor| Arshad Warsi| Pulkit Samrat| Kriti Kharbanda| Saurabh Shukla| Innamulhaq,0.174690356,0.307937761,Ileana D Cruz,5
Motichoor Chaknachoor,Comedy| Romance | UA,Nawazuddin Siddiqui| | Vibha Chibber| Navni Parihar| Sanjeev Vatsa| Bhumika Dube| Devansh Kumar| Usha Nagar,0.192613636,0.267739899,Athiya Shetty,5.8
Phobia,Drama|Mystery|Thriller,Radhika Apte||Nivedita Bhattacharya|Yashaswini Dayama|Satyadeep Misra|Arush Nand|,-0.028963661,0.314401104,Amrita Bagchi,6.9
Marjaavaan,Action| Drama | UA,Riteish Deshmukh| | Tara Sutaria| Rakul Preet Singh| Nushrat Bharucha| Ravi Kishan| Shaad Randhawa| Bikramjeet Kanwarpal,0.021617647,0.292336601,Sidharth Malhotra,5.6
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,Johnny Depp,-0.027748923,0.469665666,Orlando Bloom,7.3
The Lone Ranger,Action|Adventure|Western,Johnny Depp,0.051003092,0.190510043,Ruth Wilson,6.5
Man of Steel,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,0.080809325,0.266541083,Christopher Meloni,7.2
The Chronicles of Narnia: Prince Caspian,Action|Adventure|Family|Fantasy,Peter Dinklage,0.04004943,0.171905222,Pierfrancesco Favino,6.6
The Avengers,Action|Adventure|Sci-Fi,Chris Hemsworth,0.081881292,0.271648278,Robert Downey Jr.,8.1
Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,Johnny Depp,0.007063536,0.460350226,Sam Claflin,6.7
